계열명,학과명,대학교 구분,첫일자리진출소요기간 구분,측정값
사회계열,정치외교학과,대학교,6개월,57.7
사회계열,정치외교학과,대학교,1년,72.5
사회계열,정치외교학과,대학교,1년이상,83.2
사회계열,행정학과,전문대학,졸업전,35.9
사회계열,행정학과,전문대학,3개월,58.6
사회계열,행정학과,전문대학,6개월,68
사회계열,행정학과,전문대학,1년,78.9
사회계열,행정학과,전문대학,1년이상,85.9
사회계열,행정학과,대학교,졸업전,32.2
사회계열,행정학과,대학교,3개월,48
사회계열,행정학과,대학교,6개월,59.3
사회계열,행정학과,대학교,1년,71.5
사회계열,행정학과,대학교,1년이상,81.6
사회계열,경찰행정학과,전문대학,졸업전,22
사회계열,경찰행정학과,전문대학,3개월,41.7
사회계열,경찰행정학과,전문대학,6개월,50.6
사회계열,경찰행정학과,전문대학,1년,60.7
사회계열,경찰행정학과,전문대학,1년이상,72
사회계열,경찰행정학과,대학교,졸업전,31.2
사회계열,경찰행정학과,대학교,3개월,46.4
사회계열,경찰행정학과,대학교,6개월,54.3
사회계열,경찰행정학과,대학교,1년,66.2
사회계열,경찰행정학과,대학교,1년이상,76.7
사회계열,보건행정학과,전문대학,졸업전,38
사회계열,보건행정학과,전문대학,3개월,65.6
사회계열,보건행정학과,전문대학,6개월,74.3
사회계열,보건행정학과,전문대학,1년,82
사회계열,보건행정학과,전문대학,1년이상,90.5
사회계열,보건행정학과,대학교,졸업전,30.4
사회계열,보건행정학과,대학교,3개월,51.8
사회계열,보건행정학과,대학교,6개월,57.1
사회계열,보건행정학과,대학교,1년,69.6
사회계열,보건행정학과,대학교,1년이상,80.4
사회계열,비서학과,전문대학,졸업전,43.8
사회계열,비서학과,전문대학,3개월,69.1
사회계열,비서학과,전문대학,6개월,79
사회계열,비서학과,전문대학,1년,88.9
사회계열,비서학과,전문대학,1년이상,96.3
교육계열,교육학과,대학교,졸업전,25.1
교육계열,교육학과,대학교,3개월,48.5
교육계열,교육학과,대학교,6개월,56.1
교육계열,교육학과,대학교,1년,67
교육계열,교육학과,대학교,1년이상,81.8
교육계열,유아교육학과,전문대학,졸업전,37.6
교육계열,유아교육학과,전문대학,3개월,81.3
교육계열,유아교육학과,전문대학,6개월,84.5
교육계열,유아교육학과,전문대학,1년,89.9
교육계열,유아교육학과,전문대학,1년이상,95.6
교육계열,유아교육학과,대학교,졸업전,28
교육계열,유아교육학과,대학교,3개월,71.4
교육계열,유아교육학과,대학교,6개월,73.9
교육계열,유아교육학과,대학교,1년,83.2
교육계열,유아교육학과,대학교,1년이상,94.8
교육계열,특수교육학과,대학교,졸업전,11.9
교육계열,특수교육학과,대학교,3개월,48.9
교육계열,특수교육학과,대학교,6개월,52.2
교육계열,특수교육학과,대학교,1년,60.6
교육계열,특수교육학과,대학교,1년이상,84.4
교육계열,초등교육학과,대학교,졸업전,3.6
교육계열,초등교육학과,대학교,3개월,62.5
교육계열,초등교육학과,대학교,6개월,68.8
교육계열,초등교육학과,대학교,1년,78.6
교육계열,초등교육학과,대학교,1년이상,97.3
교육계열,인문교육과,대학교,졸업전,17.4
교육계열,인문교육과,대학교,3개월,42.6
교육계열,인문교육과,대학교,6개월,47.5
교육계열,인문교육과,대학교,1년,61.9
교육계열,인문교육과,대학교,1년이상,86.8
교육계열,언어교육과,대학교,졸업전,15
교육계열,언어교육과,대학교,3개월,36.2
교육계열,언어교육과,대학교,6개월,42.7
교육계열,언어교육과,대학교,1년,57
교육계열,언어교육과,대학교,1년이상,75.2
교육계열,사회교육과,대학교,졸업전,12.5
교육계열,사회교육과,대학교,3개월,36.2
교육계열,사회교육과,대학교,6개월,41.1
교육계열,사회교육과,대학교,1년,53
교육계열,사회교육과,대학교,1년이상,74.8
교육계열,공학교육과,대학교,졸업전,20.9
교육계열,공학교육과,대학교,3개월,56.8
교육계열,공학교육과,대학교,6개월,59.1
교육계열,공학교육과,대학교,1년,66.4
교육계열,공학교육과,대학교,1년이상,86.4
교육계열,자연계교육과,대학교,졸업전,14.5
교육계열,자연계교육과,대학교,3개월,42.5
교육계열,자연계교육과,대학교,6개월,46.7
교육계열,자연계교육과,대학교,1년,57.1
교육계열,자연계교육과,대학교,1년이상,77.3
교육계열,예체능교육과,대학교,졸업전,14.7
교육계열,예체능교육과,대학교,3개월,41.7
교육계열,예체능교육과,대학교,6개월,46.7
교육계열,예체능교육과,대학교,1년,59.5
교육계열,예체능교육과,대학교,1년이상,86.1
자연계열,농업학과,전문대학,졸업전,45.9
자연계열,농업학과,전문대학,3개월,78
자연계열,농업학과,전문대학,6개월,85.3
자연계열,농업학과,전문대학,1년,91.7
자연계열,농업학과,전문대학,1년이상,94.5
자연계열,농업학과,대학교,졸업전,28.5
자연계열,농업학과,대학교,3개월,50.5
